"InputText","TaskName","TaskType","Difficulty","DeadlineHint","Source","LabelVersion"
"thứ 6 thi giua ky tmdt, trắc nghiệm",Thi giữa kỳ TMĐT,ThiGiuaKy,3,thứ 6,collected_v4,v4
"tuần sau thi giữa kì qtcl, tự luận",Thi giữa kỳ QTCL,ThiGiuaKy,4,tuần sau,collected_v4,v4
"t3 thi giữa kỳ qtda, vẽ gantt",Thi giữa kỳ QTDA,ThiGiuaKy,3,t3,collected_v4,v4
"tuần sau tgk khởi nghiệp, pitch",Thi giữa kỳ Khởi nghiệp,ThiGiuaKy,2,tuần sau,collected_v4,v4
"25/10 thi giua ky dam phan, roleplay",Thi giữa kỳ Đàm phán,ThiGiuaKy,3,25/10,collected_v4,v4
"tuần sau thi giữa kì knm, thuyết trình",Thi giữa kỳ KNM,ThiGiuaKy,1,tuần sau,collected_v4,v4
"t4 thi giữa kỳ gtkd, email",Thi giữa kỳ GTKD,ThiGiuaKy,2,t4,collected_v4,v4
"tuần sau tgk tdpp, lập luận",Thi giữa kỳ TDPP,ThiGiuaKy,3,tuần sau,collected_v4,v4
"thứ 5 thi giua ky ppnckh, đề cương",Thi giữa kỳ PPNCKH,ThiGiuaKy,3,thứ 5,collected_v4,v4
"tuần sau thi giữa kì nhập môn cntt, trắc nghiệm",Thi giữa kỳ Nhập môn CNTT,ThiGiuaKy,2,tuần sau,collected_v4,v4
"t6 tuần sau thi giữa kỳ ktmt, khó",Thi giữa kỳ KTMT,ThiGiuaKy,5,t6 tuần sau,collected_v4,v4
"21/10 thi giua ky lthdt, code giấy",Thi giữa kỳ LTHĐT,ThiGiuaKy,4,21/10,collected_v4,v4
"tgk ctdl tuan sau, stack queue",Thi giữa kỳ CTDL,ThiGiuaKy,5,tuan sau,collected_v4,v4
"tuần sau thi giữa kỳ trr2, đồ thị",Thi giữa kỳ TRR2,ThiGiuaKy,4,tuần sau,collected_v4,v4
"t2 thi giữa kỳ ltdt, duyệt",Thi giữa kỳ LTĐT,ThiGiuaKy,5,t2,collected_v4,v4
"tuần sau tgk tối ưu hóa, simplex",Thi giữa kỳ Tối ưu hóa,ThiGiuaKy,5,tuần sau,collected_v4,v4
"thứ 3 thi giua ky dhmt2, 3d",Thi giữa kỳ ĐHMT2,ThiGiuaKy,4,thứ 3,collected_v4,v4
"tuần sau thi giữa kì xla, matlab",Thi giữa kỳ XLA,ThiGiuaKy,5,tuần sau,collected_v4,v4
"t5 thi giữa kỳ tgmt, opencv",Thi giữa kỳ TGMT,ThiGiuaKy,5,t5,collected_v4,v4
"tuần sau tgk học máy, thuật toán",Thi giữa kỳ Học máy,ThiGiuaKy,5,tuần sau,collected_v4,v4
"28/10 thi giua ky dl, cnn rnn",Thi giữa kỳ DL,ThiGiuaKy,5,28/10,collected_v4,v4
"tuần sau thi giữa kì nlp, transformer",Thi giữa kỳ NLP,ThiGiuaKy,5,tuần sau,collected_v4,v4
"t6 thi giữa kỳ kpdl, weka",Thi giữa kỳ KPDL,ThiGiuaKy,5,t6,collected_v4,v4
"tuần sau tgk httt, er diagram",Thi giữa kỳ HTTT,ThiGiuaKy,3,tuần sau,collected_v4,v4
"thứ 4 thi giua ky ptuweb, react",Thi giữa kỳ PTUWeb,ThiGiuaKy,4,thứ 4,collected_v4,v4
"tuần sau thi giữa kì ltmobile, flutter",Thi giữa kỳ LTMobile,ThiGiuaKy,4,tuần sau,collected_v4,v4
"t2 tuần sau thi giữa kỳ cnweb, js",Thi giữa kỳ CNWeb,ThiGiuaKy,3,t2 tuần sau,collected_v4,v4
"bt giải tích tối nay, ai làm r cho xin",Bài tập Giải tích,BaiTapVeNha,3,tối nay,collected_v4,v4
"mai nop bt hoa hc chuong 3, kho vl",Bài tập Hóa HC,BaiTapVeNha,3,mai,collected_v4,v4
"t6 nộp bt ktvm, chương 5",Bài tập KTVM,BaiTapVeNha,2,t6,collected_v4,v4
bt tuan nay mon xstk chua dong toi,Bài tập XSTK,BaiTapVeNha,3,tuan nay,collected_v4,v4
"23h59 tối nay nộp bt lập trình C, cứuuu",Bài tập Lập trình C,BaiTapVeNha,4,23h59 tối nay,collected_v4,v4
"btvn mon mac khum biet lam, ai giup",Bài tập Mác,BaiTapVeNha,3,,collected_v4,v4
"t2 nộp bt tiếng anh, unit 4",Bài tập Tiếng Anh,BaiTapVeNha,2,t2,collected_v4,v4
"deadline bt qth tối mai, quên mất",Bài tập QTH,BaiTapVeNha,2,tối mai,collected_v4,v4
"bai tap mang mt t4 nop, lab 3",Bài tập Mạng MT,BaiTapVeNha,3,t4,collected_v4,v4
"20/10 nộp bt triết, 5 câu",Bài tập Triết,BaiTapVeNha,2,20/10,collected_v4,v4
"mai nộp bt oop, bài 2-3",Bài tập OOP,BaiTapVeNha,4,mai,collected_v4,v4
"bt cnxhkh tuần này, trắc nghiệm",Bài tập CNXHKH,BaiTapVeNha,2,tuần này,collected_v4,v4
"t5 nộp bt lsd, câu hỏi ôn tập",Bài tập LSĐ,BaiTapVeNha,2,t5,collected_v4,v4
"bt kế toán tối nay, định khoản xỉu",Bài tập Kế toán,BaiTapVeNha,3,tối nay,collected_v4,v4
"22/10 deadline bt web, landing page",Bài tập Web,BaiTapVeNha,3,22/10,collected_v4,v4
"bt AI tuần này, search a*",Bài tập AI,BaiTapVeNha,5,tuần này,collected_v4,v4
"t3 nộp bt java, bài tập lớn nhỏ",Bài tập Java,BaiTapVeNha,4,t3,collected_v4,v4
"mai nop bt hdh, chapter 4",Bài tập HĐH,BaiTapVeNha,4,mai,collected_v4,v4
"bt python t6 nộp, pandas",Bài tập Python,BaiTapVeNha,3,t6,collected_v4,v4
"tối nay deadline bt csdl nc, query",Bài tập CSDL NC,BaiTapVeNha,4,tối nay,collected_v4,v4
"25/10 bt attt, mã hóa",Bài tập ATTT,BaiTapVeNha,4,25/10,collected_v4,v4
"t4 nộp bt ktlt, pointer",Bài tập KTLT,BaiTapVeNha,3,t4,collected_v4,v4
"bt marketing tuần này, 4p",Bài tập Marketing,BaiTapVeNha,2,tuần này,collected_v4,v4
"mai nop bt dts, mạch",Bài tập ĐTS,BaiTapVeNha,4,mai,collected_v4,v4
"28/10 deadline bt vxl, assembly",Bài tập VXL,BaiTapVeNha,5,28/10,collected_v4,v4
"bt pt&tkht t2, vẽ use case",Bài tập PT&TKHT,BaiTapVeNha,4,t2,collected_v4,v4
"t6 nộp bt trr, đồ thị",Bài tập TRR,BaiTapVeNha,4,t6,collected_v4,v4
"bt cnpm tối mai, srs",Bài tập CNPM,BaiTapVeNha,3,tối mai,collected_v4,v4
"24/10 deadline bt dhmt, opengl",Bài tập ĐHMT,BaiTapVeNha,4,24/10,collected_v4,v4
"bt ttnt tuần này, logic",Bài tập TTNT,BaiTapVeNha,5,tuần này,collected_v4,v4
"t3 nộp bt linux, shell script",Bài tập Linux,BaiTapVeNha,3,t3,collected_v4,v4
"mai nop bt qtm, config",Bài tập QTM,BaiTapVeNha,4,mai,collected_v4,v4
"bt ktpm t5, test case",Bài tập KTPM,BaiTapVeNha,3,t5,collected_v4,v4
"30/10 deadline bt mobile, app nhỏ",Bài tập Mobile,BaiTapVeNha,4,30/10,collected_v4,v4
"bt data science tuần sau, regression",Bài tập Data Science,BaiTapVeNha,5,tuần sau,collected_v4,v4
"t4 nộp bt big data, hadoop",Bài tập Big Data,BaiTapVeNha,5,t4,collected_v4,v4
"bt xstk mai nộp, bài 3.5",Bài tập XSTK,BaiTapVeNha,3,mai,collected_v4,v4
"26/10 deadline bt iot, arduino",Bài tập IoT,BaiTapVeNha,4,26/10,collected_v4,v4
"bt cloud tuần này, deploy",Bài tập Cloud,BaiTapVeNha,4,tuần này,collected_v4,v4
"t2 nộp bt blockchain, smart contract",Bài tập Blockchain,BaiTapVeNha,5,t2,collected_v4,v4
"bt uiux tối nay, wireframe",Bài tập UI/UX,BaiTapVeNha,3,tối nay,collected_v4,v4
"mai nop bt tcc, tích phân",Bài tập TCC,BaiTapVeNha,5,mai,collected_v4,v4
"thứ 6 deadline bt ly 2, điện trường",Bài tập Lý 2,BaiTapVeNha,4,thứ 6,collected_v4,v4
"27/10 bt hoa hc, cơ chế",Bài tập Hóa HC,BaiTapVeNha,4,27/10,collected_v4,v4
"t5 nộp bt sinh, tế bào",Bài tập Sinh,BaiTapVeNha,3,t5,collected_v4,v4
"bt tâm lý học tuần sau, bài thu hoạch",Bài tập Tâm lý học,BaiTapVeNha,2,tuần sau,collected_v4,v4
"mai nop bt xhh, khảo sát",Bài tập XHH,BaiTapVeNha,2,mai,collected_v4,v4
"29/10 deadline bt logic, mệnh đề",Bài tập Logic,BaiTapVeNha,3,29/10,collected_v4,v4
"bt mỹ học tuần này, tiểu luận",Bài tập Mỹ học,BaiTapVeNha,2,tuần này,collected_v4,v4
"t3 nộp bt vh, phân tích tp",Bài tập VH,BaiTapVeNha,3,t3,collected_v4,v4
"bt địa lý mai nộp, atlat",Bài tập Địa lý,BaiTapVeNha,2,mai,collected_v4,v4
"thứ 6 deadline bt lstg, mốc tgian",Bài tập LSTG,BaiTapVeNha,3,thứ 6,collected_v4,v4
"31/10 bt ktct, câu hỏi",Bài tập KTCT,BaiTapVeNha,4,31/10,collected_v4,v4
"t4 nộp bt tc, bài tập tình huống",Bài tập TC,BaiTapVeNha,4,t4,collected_v4,v4
"bt qtnl tuần này, tuyển dụng",Bài tập QTNL,BaiTapVeNha,3,tuần này,collected_v4,v4
"mai nop bt hvttc, teamwork",Bài tập HVTTC,BaiTapVeNha,3,mai,collected_v4,v4
"15/12 deadline cuối kỳ môn web, đồ án nhóm 3 người",Đồ án Web,DoAnCuoiKy,5,15/12,collected_v4,v4
"đồ án cuối kỳ AI cuối tháng 12, làm 1 mình xỉu",Đồ án AI,DoAnCuoiKy,5,cuối tháng 12,collected_v4,v4
"do an cuoi ky java 20/12, app quản lý",Đồ án Java,DoAnCuoiKy,4,20/12,collected_v4,v4
"cuối kỳ làm đồ án Mobile 18/12, flutter nha",Đồ án Mobile,DoAnCuoiKy,4,18/12,collected_v4,v4
"đồ án cuối kỳ Cloud 25/12, deploy aws",Đồ án Cloud,DoAnCuoiKy,5,25/12,collected_v4,v4
"do an cuoi ky Data Science thang 12, dataset tự kiếm",Đồ án Data Science,DoAnCuoiKy,5,thang 12,collected_v4,v4
"30/12 nộp đồ án Blockchain, dapp",Đồ án Blockchain,DoAnCuoiKy,5,30/12,collected_v4,v4
"cuối kỳ làm đồ án IoT 22/12, phần cứng tự lo",Đồ án IoT,DoAnCuoiKy,5,22/12,collected_v4,v4
"đồ án cuối kỳ UI/UX 17/12, redesign app",Đồ án UI/UX,DoAnCuoiKy,4,17/12,collected_v4,v4
"do an mon Big Data cuoi ky, spark",Đồ án Big Data,DoAnCuoiKy,5,cuoi ky,collected_v4,v4
"28/12 cuối kỳ đồ án NLP, chatbot",Đồ án NLP,DoAnCuoiKy,5,28/12,collected_v4,v4
"24/12 đồ án cuối kỳ TGMT, nhận diện",Đồ án TGMT,DoAnCuoiKy,5,24/12,collected_v4,v4
"do an cuoi ky DL 29/12, train model",Đồ án DL,DoAnCuoiKy,5,29/12,collected_v4,v4
"cuối tháng 12 nộp đồ án XLA, filter",Đồ án XLA,DoAnCuoiKy,5,cuối tháng 12,collected_v4,v4
"16/12 cuối kỳ làm đồ án Web NC, mern",Đồ án Web NC,DoAnCuoiKy,4,16/12,collected_v4,v4
"19/12 đồ án cuối kỳ HĐH, mini os",Đồ án HĐH,DoAnCuoiKy,5,19/12,collected_v4,v4
"do an cuoi ky MMT 21/12, socket",Đồ án MMT,DoAnCuoiKy,4,21/12,collected_v4,v4
"23/12 đồ án môn ATTT, pentest",Đồ án ATTT,DoAnCuoiKy,5,23/12,collected_v4,v4
"26/12 cuối kỳ đồ án QTM, cấu hình server",Đồ án QTM,DoAnCuoiKy,4,26/12,collected_v4,v4
"27/12 đồ án cuối kỳ KTPM, automation test",Đồ án KTPM,DoAnCuoiKy,4,27/12,collected_v4,v4
"do an cuoi ky CNPM 15/12, agile",Đồ án CNPM,DoAnCuoiKy,4,15/12,collected_v4,v4
"18/12 đồ án môn PT&TKHT, uml full",Đồ án PT&TKHT,DoAnCuoiKy,4,18/12,collected_v4,v4
"20/12 cuối kỳ làm đồ án CSDL, thiết kế db",Đồ án CSDL,DoAnCuoiKy,4,20/12,collected_v4,v4
"22/12 đồ án cuối kỳ OOP, game nhỏ",Đồ án OOP,DoAnCuoiKy,4,22/12,collected_v4,v4
"do an cuoi ky Python 17/12, crawl data",Đồ án Python,DoAnCuoiKy,4,17/12,collected_v4,v4
"cuối kỳ đồ án C++, quản lý sv",Đồ án C++,DoAnCuoiKy,4,cuoi ky,collected_v4,v4
"25/12 cuối kỳ đồ án KTMT, mạch",Đồ án KTMT,DoAnCuoiKy,5,25/12,collected_v4,v4
"28/12 đồ án cuối kỳ VXL, 8051",Đồ án VXL,DoAnCuoiKy,5,28/12,collected_v4,v4
"do an cuoi ky DTS 30/12, mạch đếm",Đồ án ĐTS,DoAnCuoiKy,4,30/12,collected_v4,v4
"cuối kỳ đồ án TRR, bài toán",Đồ án TRR,DoAnCuoiKy,4,cuoi ky,collected_v4,v4
"24/12 cuối kỳ làm đồ án LTĐT, thuật toán",Đồ án LTĐT,DoAnCuoiKy,5,24/12,collected_v4,v4
"26/12 đồ án cuối kỳ Tối ưu, bài toán lớn",Đồ án Tối ưu,DoAnCuoiKy,5,26/12,collected_v4,v4
"do an cuoi ky ĐHMT 29/12, 3d model",Đồ án ĐHMT,DoAnCuoiKy,4,29/12,collected_v4,v4
"cuối tháng 12 đồ án môn Linux, server",Đồ án Linux,DoAnCuoiKy,3,cuối tháng 12,collected_v4,v4
"16/12 cuối kỳ đồ án QTDA, file project",Đồ án QTDA,DoAnCuoiKy,3,16/12,collected_v4,v4
"19/12 đồ án cuối kỳ Marketing, plan",Đồ án Marketing,DoAnCuoiKy,3,19/12,collected_v4,v4
"do an cuoi ky Ke toan 21/12, bctc",Đồ án Kế toán,DoAnCuoiKy,4,21/12,collected_v4,v4
"cuối kỳ đồ án TC, phân tích dn",Đồ án TC,DoAnCuoiKy,4,cuoi ky,collected_v4,v4
"23/12 cuối kỳ làm đồ án NH, mô hình",Đồ án NH,DoAnCuoiKy,4,23/12,collected_v4,v4
"27/12 đồ án cuối kỳ Đầu tư, danh mục",Đồ án Đầu tư,DoAnCuoiKy,5,27/12,collected_v4,v4
"do an cuoi ky CK 30/12, phân tích cp",Đồ án CK,DoAnCuoiKy,5,30/12,collected_v4,v4
"cuối tháng 12 đồ án môn Log, scm",Đồ án Log,DoAnCuoiKy,3,cuối tháng 12,collected_v4,v4
"18/12 cuối kỳ đồ án TMĐT, website",Đồ án TMĐT,DoAnCuoiKy,4,18/12,collected_v4,v4
"22/12 đồ án cuối kỳ QTCL, case dn",Đồ án QTCL,DoAnCuoiKy,4,22/12,collected_v4,v4
"do an cuoi ky KN 25/12, business plan",Đồ án KN,DoAnCuoiKy,3,25/12,collected_v4,v4
"cuối kỳ đồ án NCKH, báo cáo",Đồ án NCKH,DoAnCuoiKy,4,cuoi ky,collected_v4,v4
"28/12 cuối kỳ làm đồ án TK, phân tích số liệu",Đồ án TK,DoAnCuoiKy,4,28/12,collected_v4,v4
"15/12 đồ án cuối kỳ Luật KT, tình huống",Đồ án Luật KT,DoAnCuoiKy,4,15/12,collected_v4,v4
"do an cuoi ky KDQT 17/12, chiến lược",Đồ án KDQT,DoAnCuoiKy,4,17/12,collected_v4,v4
"cuối kỳ đồ án QTNL, quy trình",Đồ án QTNL,DoAnCuoiKy,3,cuoi ky,collected_v4,v4
